code,label,count_for,count_against,count_abstentions,count_did_not_vote,group_voted,division,vote_id
GUE_NGL,The Left in the European Parliament,26,3,4,5,1,0.21212121212121215,163099
EPP,European Peopleâs Party,89,30,14,44,1,0.3308270676691729,162511
SD,Progressive Alliance of Socialists and Democrats,95,2,0,44,1,0.020618556701030966,162511
RENEW,Renew Europe,78,0,1,22,1,0.012658227848101222,162511
GREEN_EFA,Greens/European Free Alliance,57,0,1,13,1,0.017241379310344862,162511
ECR,European Conservatives and Reformists,8,44,4,11,0,0.2142857142857143,162511
ID,Identity and Democracy,0,46,1,11,0,0.021276595744680882,162511
NI,Non-attached Members,13,23,2,13,0,0.39473684210526316,162511
GUE_NGL,The Left in the European Parliament,26,0,0,11,1,0.0,162511
EPP,European Peopleâs Party,140,0,0,37,1,0.0,162154
SD,Progressive Alliance of Socialists and Democrats,99,0,5,37,1,0.04807692307692313,162154
RENEW,Renew Europe,79,0,0,22,1,0.0,162154
GREEN_EFA,Greens/European Free Alliance,54,3,1,13,1,0.06896551724137934,162154
ECR,European Conservatives and Reformists,52,2,3,10,1,0.08771929824561409,162154
ID,Identity and Democracy,17,7,24,10,1,0.6458333333333333,162154
NI,Non-attached Members,21,6,11,13,1,0.4473684210526315,162154
GUE_NGL,The Left in the European Parliament,3,18,6,10,0,0.33333333333333337,162154
EPP,European Peopleâs Party,141,1,11,25,1,0.07843137254901966,163120
SD,Progressive Alliance of Socialists and Democrats,1,13,105,22,0,0.8907563025210083,163120
RENEW,Renew Europe,85,6,5,5,1,0.11458333333333337,163120
GREEN_EFA,Greens/European Free Alliance,0,63,0,8,0,0.0,163120
ECR,European Conservatives and Reformists,48,4,3,12,1,0.12727272727272732,163120
ID,Identity and Democracy,20,3,27,8,1,0.6,163120
NI,Non-attached Members,29,8,4,10,1,0.29268292682926833,163120
GUE_NGL,The Left in the European Parliament,0,34,0,4,0,0.0,163120
EPP,European Peopleâs Party,116,0,12,49,1,0.09375,162675
SD,Progressive Alliance of Socialists and Democrats,97,0,0,44,1,0.0,162675
RENEW,Renew Europe,73,0,5,23,1,0.0641025641025641,162675
GREEN_EFA,Greens/European Free Alliance,44,1,13,13,1,0.24137931034482762,162675
ECR,European Conservatives and Reformists,44,8,3,12,1,0.19999999999999996,162675
ID,Identity and Democracy,22,8,17,11,1,0.5319148936170213,162675
NI,Non-attached Members,21,5,8,17,1,0.38235294117647056,162675
GUE_NGL,The Left in the European Parliament,1,22,1,13,0,0.08333333333333337,162675
EPP,European Peopleâs Party,21,105,12,39,0,0.23913043478260865,162715
SD,Progressive Alliance of Socialists and Democrats,104,0,0,37,1,0.0,162715
RENEW,Renew Europe,58,19,0,24,1,0.24675324675324672,162715
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,162715
ECR,European Conservatives and Reformists,5,3,46,13,1,0.9074074074074074,162715
ID,Identity and Democracy,19,11,17,11,1,0.5957446808510638,162715
NI,Non-attached Members,26,10,2,13,1,0.3157894736842105,162715
GUE_NGL,The Left in the European Parliament,27,0,0,10,1,0.0,162715
EPP,European Peopleâs Party,132,7,1,37,1,0.05714285714285716,162728
SD,Progressive Alliance of Socialists and Democrats,104,0,0,37,1,0.0,162728
RENEW,Renew Europe,44,32,1,24,1,0.4285714285714286,162728
GREEN_EFA,Greens/European Free Alliance,58,0,0,13,1,0.0,162728
ECR,European Conservatives and Reformists,53,1,1,12,1,0.036363636363636376,162728
ID,Identity and Democracy,47,1,0,10,1,0.02083333333333337,162728
NI,Non-attached Members,36,1,1,13,1,0.052631578947368474,162728
GUE_NGL,The Left in the European Parliament,26,0,0,11,1,0.0,162728
EPP,European Peopleâs Party,40,94,7,36,0,0.33333333333333337,162729
SD,Progressive Alliance of Socialists and Democrats,99,3,2,37,1,0.04807692307692313,162729
RENEW,Renew Europe,40,38,0,23,1,0.4871794871794872,162729
GREEN_EFA,Greens/European Free Alliance,58,0,0,13,1,0.0,162729
ECR,European Conservatives and Reformists,39,13,4,11,1,0.3035714285714286,162729
ID,Identity and Democracy,38,7,3,10,1,0.20833333333333337,162729
NI,Non-attached Members,38,1,0,12,1,0.02564102564102566,162729
GUE_NGL,The Left in the European Parliament,28,0,0,9,1,0.0,162729
EPP,European Peopleâs Party,39,94,6,38,0,0.3237410071942446,162716
SD,Progressive Alliance of Socialists and Democrats,97,3,1,40,1,0.03960396039603964,162716
RENEW,Renew Europe,43,35,0,23,1,0.4487179487179487,162716
GREEN_EFA,Greens/European Free Alliance,58,0,0,13,1,0.0,162716
ECR,European Conservatives and Reformists,39,13,4,11,1,0.3035714285714286,162716
ID,Identity and Democracy,40,7,0,11,1,0.14893617021276595,162716
NI,Non-attached Members,38,1,0,12,1,0.02564102564102566,162716
GUE_NGL,The Left in the European Parliament,28,0,0,9,1,0.0,162716
EPP,European Peopleâs Party,101,33,2,41,1,0.25735294117647056,162797
SD,Progressive Alliance of Socialists and Democrats,100,0,1,40,1,0.00990099009900991,162797
RENEW,Renew Europe,76,0,1,24,1,0.012987012987012991,162797
GREEN_EFA,Greens/European Free Alliance,58,0,0,13,1,0.0,162797
ECR,European Conservatives and Reformists,1,53,3,10,0,0.07017543859649122,162797
ID,Identity and Democracy,0,48,0,10,0,0.0,162797
NI,Non-attached Members,11,19,4,17,0,0.4411764705882353,162797
GUE_NGL,The Left in the European Parliament,19,1,4,13,1,0.20833333333333337,162797
EPP,European Peopleâs Party,153,1,2,22,1,0.019230769230769273,163077
SD,Progressive Alliance of Socialists and Democrats,117,0,3,21,1,0.025000000000000022,163077
RENEW,Renew Europe,94,3,0,4,1,0.030927835051546393,163077
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,163077
ECR,European Conservatives and Reformists,0,53,3,11,0,0.0535714285714286,163077
ID,Identity and Democracy,0,51,0,7,0,0.0,163077
NI,Non-attached Members,20,21,2,8,0,0.5116279069767442,163077
GUE_NGL,The Left in the European Parliament,29,1,4,4,1,0.1470588235294118,163077
EPP,European Peopleâs Party,113,0,0,64,1,0.0,162917
SD,Progressive Alliance of Socialists and Democrats,93,0,0,48,1,0.0,162917
RENEW,Renew Europe,72,0,0,29,1,0.0,162917
GREEN_EFA,Greens/European Free Alliance,54,0,0,17,1,0.0,162917
ECR,European Conservatives and Reformists,47,0,4,16,1,0.07843137254901966,162917
ID,Identity and Democracy,15,7,20,16,1,0.6428571428571428,162917
NI,Non-attached Members,16,2,13,20,1,0.4838709677419355,162917
GUE_NGL,The Left in the European Parliament,22,0,2,13,1,0.08333333333333337,162917
EPP,European Peopleâs Party,138,0,0,39,1,0.0,162922
SD,Progressive Alliance of Socialists and Democrats,102,0,1,38,1,0.009708737864077666,162922
RENEW,Renew Europe,78,0,0,23,1,0.0,162922
GREEN_EFA,Greens/European Free Alliance,58,0,0,13,1,0.0,162922
ECR,European Conservatives and Reformists,51,0,4,12,1,0.07272727272727275,162922
ID,Identity and Democracy,21,0,27,10,1,0.5625,162922
NI,Non-attached Members,18,5,5,23,1,0.3571428571428571,162922
GUE_NGL,The Left in the European Parliament,11,9,8,9,1,0.6071428571428572,162922
EPP,European Peopleâs Party,111,21,29,16,1,0.31055900621118016,162145
SD,Progressive Alliance of Socialists and Democrats,104,14,7,16,1,0.16800000000000004,162145
RENEW,Renew Europe,77,15,2,7,1,0.18085106382978722,162145
GREEN_EFA,Greens/European Free Alliance,62,0,2,7,1,0.03125,162145
ECR,European Conservatives and Reformists,0,59,1,7,0,0.01666666666666672,162145
ID,Identity and Democracy,1,50,0,7,0,0.019607843137254943,162145
NI,Non-attached Members,16,22,2,11,0,0.44999999999999996,162145
GUE_NGL,The Left in the European Parliament,18,5,10,4,1,0.4545454545454546,162145
EPP,European Peopleâs Party,163,0,2,12,1,0.012121212121212088,162146
SD,Progressive Alliance of Socialists and Democrats,127,0,0,14,1,0.0,162146
RENEW,Renew Europe,93,0,1,7,1,0.010638297872340385,162146
GREEN_EFA,Greens/European Free Alliance,64,0,0,7,1,0.0,162146
ECR,European Conservatives and Reformists,7,12,40,8,0,0.7966101694915254,162146
ID,Identity and Democracy,1,9,42,6,0,0.8269230769230769,162146
NI,Non-attached Members,30,6,7,8,1,0.3023255813953488,162146
GUE_NGL,The Left in the European Parliament,10,0,23,4,1,0.696969696969697,162146
EPP,European Peopleâs Party,139,1,0,37,1,0.0071428571428571175,162915
SD,Progressive Alliance of Socialists and Democrats,104,0,0,37,1,0.0,162915
RENEW,Renew Europe,77,0,0,24,1,0.0,162915
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,162915
ECR,European Conservatives and Reformists,54,0,2,11,1,0.0357142857142857,162915
ID,Identity and Democracy,21,3,24,10,1,0.5625,162915
NI,Non-attached Members,20,3,8,20,1,0.3548387096774194,162915
GUE_NGL,The Left in the European Parliament,17,0,8,12,1,0.31999999999999995,162915
EPP,European Peopleâs Party,165,0,0,12,1,0.0,162160
SD,Progressive Alliance of Socialists and Democrats,126,0,0,15,1,0.0,162160
RENEW,Renew Europe,94,0,0,7,1,0.0,162160
GREEN_EFA,Greens/European Free Alliance,64,0,0,7,1,0.0,162160
ECR,European Conservatives and Reformists,57,0,3,7,1,0.050000000000000044,162160
ID,Identity and Democracy,20,0,30,8,1,0.6,162160
NI,Non-attached Members,33,6,4,8,1,0.2325581395348837,162160
GUE_NGL,The Left in the European Parliament,0,26,7,4,0,0.21212121212121215,162160
EPP,European Peopleâs Party,164,0,0,13,1,0.0,162253
SD,Progressive Alliance of Socialists and Democrats,118,0,8,15,1,0.06349206349206349,162253
RENEW,Renew Europe,69,4,20,8,1,0.25806451612903225,162253
GREEN_EFA,Greens/European Free Alliance,48,4,12,7,1,0.25,162253
ECR,European Conservatives and Reformists,54,0,6,7,1,0.09999999999999998,162253
ID,Identity and Democracy,20,30,1,7,0,0.4117647058823529,162253
NI,Non-attached Members,12,15,14,10,0,0.6341463414634146,162253
GUE_NGL,The Left in the European Parliament,0,24,9,4,0,0.2727272727272727,162253
EPP,European Peopleâs Party,139,0,1,37,1,0.0071428571428571175,162914
SD,Progressive Alliance of Socialists and Democrats,105,0,0,36,1,0.0,162914
RENEW,Renew Europe,78,0,0,23,1,0.0,162914
GREEN_EFA,Greens/European Free Alliance,58,0,0,13,1,0.0,162914
ECR,European Conservatives and Reformists,46,3,7,11,1,0.1785714285714286,162914
ID,Identity and Democracy,16,24,6,12,0,0.4782608695652174,162914
NI,Non-attached Members,25,2,3,21,1,0.16666666666666663,162914
GUE_NGL,The Left in the European Parliament,26,0,0,11,1,0.0,162914
EPP,European Peopleâs Party,164,1,0,12,1,0.0060606060606061,162276
SD,Progressive Alliance of Socialists and Democrats,118,2,1,20,1,0.024793388429752095,162276
RENEW,Renew Europe,84,7,3,7,1,0.1063829787234043,162276
GREEN_EFA,Greens/European Free Alliance,52,9,3,7,1,0.1875,162276
ECR,European Conservatives and Reformists,47,12,1,7,1,0.21666666666666667,162276
ID,Identity and Democracy,20,30,1,7,0,0.4117647058823529,162276
NI,Non-attached Members,28,11,4,8,1,0.34883720930232553,162276
GUE_NGL,The Left in the European Parliament,3,23,7,4,0,0.303030303030303,162276
EPP,European Peopleâs Party,37,118,6,16,0,0.26708074534161486,162317
SD,Progressive Alliance of Socialists and Democrats,127,0,0,14,1,0.0,162317
RENEW,Renew Europe,76,0,18,7,1,0.19148936170212771,162317
GREEN_EFA,Greens/European Free Alliance,64,0,0,7,1,0.0,162317
ECR,European Conservatives and Reformists,1,12,47,7,0,0.8,162317
ID,Identity and Democracy,1,32,19,6,0,0.3846153846153846,162317
NI,Non-attached Members,21,17,4,9,1,0.5,162317
GUE_NGL,The Left in the European Parliament,30,0,3,4,1,0.09090909090909094,162317
EPP,European Peopleâs Party,104,17,30,26,1,0.3112582781456954,162214
SD,Progressive Alliance of Socialists and Democrats,83,30,6,22,1,0.3025210084033614,162214
RENEW,Renew Europe,74,0,11,16,1,0.12941176470588234,162214
GREEN_EFA,Greens/European Free Alliance,2,48,14,7,0,0.25,162214
ECR,European Conservatives and Reformists,42,4,10,11,1,0.25,162214
ID,Identity and Democracy,26,3,20,9,1,0.4693877551020408,162214
NI,Non-attached Members,26,8,4,13,1,0.3157894736842105,162214
GUE_NGL,The Left in the European Parliament,19,1,12,5,1,0.40625,162214
EPP,European Peopleâs Party,163,1,0,13,1,0.0060975609756097615,162319
SD,Progressive Alliance of Socialists and Democrats,123,0,2,16,1,0.016000000000000014,162319
RENEW,Renew Europe,94,0,0,7,1,0.0,162319
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162319
ECR,European Conservatives and Reformists,51,3,5,8,1,0.13559322033898302,162319
ID,Identity and Democracy,19,31,2,6,0,0.40384615384615385,162319
NI,Non-attached Members,33,4,5,9,1,0.2142857142857143,162319
GUE_NGL,The Left in the European Parliament,32,0,1,4,1,0.030303030303030276,162319
EPP,European Peopleâs Party,157,0,8,12,1,0.048484848484848464,162318
SD,Progressive Alliance of Socialists and Democrats,127,0,0,14,1,0.0,162318
RENEW,Renew Europe,91,3,0,7,1,0.03191489361702127,162318
GREEN_EFA,Greens/European Free Alliance,64,0,0,7,1,0.0,162318
ECR,European Conservatives and Reformists,2,10,48,7,0,0.8333333333333334,162318
ID,Identity and Democracy,0,4,48,6,0,0.9230769230769231,162318
NI,Non-attached Members,20,6,17,8,1,0.5348837209302326,162318
GUE_NGL,The Left in the European Parliament,25,0,6,6,1,0.19354838709677424,162318
EPP,European Peopleâs Party,126,15,21,15,1,0.2222222222222222,162848
SD,Progressive Alliance of Socialists and Democrats,113,2,8,18,1,0.08130081300813008,162848
RENEW,Renew Europe,91,3,0,7,1,0.03191489361702127,162848
GREEN_EFA,Greens/European Free Alliance,62,1,1,7,1,0.03125,162848
ECR,European Conservatives and Reformists,40,12,7,8,1,0.3220338983050848,162848
ID,Identity and Democracy,18,33,0,7,0,0.3529411764705882,162848
NI,Non-attached Members,14,18,7,12,0,0.5384615384615384,162848
GUE_NGL,The Left in the European Parliament,4,15,14,4,0,0.5454545454545454,162848
EPP,European Peopleâs Party,161,0,0,16,1,0.0,162352
SD,Progressive Alliance of Socialists and Democrats,118,2,4,17,1,0.048387096774193505,162352
RENEW,Renew Europe,90,0,3,8,1,0.032258064516129004,162352
GREEN_EFA,Greens/European Free Alliance,62,0,2,7,1,0.03125,162352
ECR,European Conservatives and Reformists,56,0,4,7,1,0.06666666666666665,162352
ID,Identity and Democracy,23,17,9,9,1,0.5306122448979591,162352
NI,Non-attached Members,16,9,7,19,1,0.5,162352
GUE_NGL,The Left in the European Parliament,3,19,11,4,0,0.4242424242424242,162352
EPP,European Peopleâs Party,64,94,3,16,0,0.4161490683229814,162714
SD,Progressive Alliance of Socialists and Democrats,7,120,0,14,0,0.055118110236220486,162714
RENEW,Renew Europe,10,82,0,9,0,0.10869565217391308,162714
GREEN_EFA,Greens/European Free Alliance,0,64,0,7,0,0.0,162714
ECR,European Conservatives and Reformists,10,50,0,7,0,0.16666666666666663,162714
ID,Identity and Democracy,13,38,1,6,0,0.2692307692307693,162714
NI,Non-attached Members,16,22,4,9,0,0.47619047619047616,162714
GUE_NGL,The Left in the European Parliament,0,31,2,4,0,0.06060606060606055,162714
EPP,European Peopleâs Party,157,1,0,20,1,0.006329113924050667,162142
SD,Progressive Alliance of Socialists and Democrats,125,1,0,15,1,0.007936507936507908,162142
RENEW,Renew Europe,86,0,0,15,1,0.0,162142
GREEN_EFA,Greens/European Free Alliance,44,11,7,9,1,0.29032258064516125,162142
ECR,European Conservatives and Reformists,57,2,2,6,1,0.06557377049180324,162142
ID,Identity and Democracy,42,8,0,9,1,0.16000000000000003,162142
NI,Non-attached Members,33,5,2,10,1,0.17500000000000004,162142
GUE_NGL,The Left in the European Parliament,5,15,13,4,0,0.5454545454545454,162142
EPP,European Peopleâs Party,5,143,11,19,0,0.10062893081761004,162153
SD,Progressive Alliance of Socialists and Democrats,116,6,3,16,1,0.07199999999999995,162153
RENEW,Renew Europe,58,19,9,15,1,0.32558139534883723,162153
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162153
ECR,European Conservatives and Reformists,1,58,0,8,0,0.016949152542372836,162153
ID,Identity and Democracy,0,49,0,10,0,0.0,162153
NI,Non-attached Members,13,21,5,11,0,0.46153846153846156,162153
GUE_NGL,The Left in the European Parliament,26,4,2,5,1,0.1875,162153
EPP,European Peopleâs Party,159,0,0,19,1,0.0,162157
SD,Progressive Alliance of Socialists and Democrats,124,0,1,16,1,0.008000000000000007,162157
RENEW,Renew Europe,83,1,0,17,1,0.011904761904761862,162157
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162157
ECR,European Conservatives and Reformists,61,0,0,6,1,0.0,162157
ID,Identity and Democracy,48,0,0,11,1,0.0,162157
NI,Non-attached Members,34,0,3,13,1,0.08108108108108103,162157
GUE_NGL,The Left in the European Parliament,29,0,2,6,1,0.06451612903225812,162157
EPP,European Peopleâs Party,153,0,0,25,1,0.0,162155
SD,Progressive Alliance of Socialists and Democrats,120,3,0,18,1,0.024390243902439046,162155
RENEW,Renew Europe,77,0,7,17,1,0.08333333333333337,162155
GREEN_EFA,Greens/European Free Alliance,59,0,0,12,1,0.0,162155
ECR,European Conservatives and Reformists,45,8,6,8,1,0.23728813559322037,162155
ID,Identity and Democracy,32,18,0,9,1,0.36,162155
NI,Non-attached Members,32,4,2,12,1,0.1578947368421053,162155
GUE_NGL,The Left in the European Parliament,30,0,3,4,1,0.09090909090909094,162155
EPP,European Peopleâs Party,159,0,0,19,1,0.0,162156
SD,Progressive Alliance of Socialists and Democrats,124,0,1,16,1,0.008000000000000007,162156
RENEW,Renew Europe,85,0,0,16,1,0.0,162156
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162156
ECR,European Conservatives and Reformists,61,0,0,6,1,0.0,162156
ID,Identity and Democracy,49,0,0,10,1,0.0,162156
NI,Non-attached Members,34,0,3,13,1,0.08108108108108103,162156
GUE_NGL,The Left in the European Parliament,29,0,1,7,1,0.033333333333333326,162156
EPP,European Peopleâs Party,160,0,1,17,1,0.006211180124223614,162183
SD,Progressive Alliance of Socialists and Democrats,127,0,0,14,1,0.0,162183
RENEW,Renew Europe,83,0,4,14,1,0.04597701149425293,162183
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162183
ECR,European Conservatives and Reformists,0,12,49,6,0,0.8032786885245902,162183
ID,Identity and Democracy,0,34,16,9,0,0.31999999999999995,162183
NI,Non-attached Members,16,9,14,11,1,0.5897435897435898,162183
GUE_NGL,The Left in the European Parliament,0,26,7,4,0,0.21212121212121215,162183
EPP,European Peopleâs Party,109,19,30,20,1,0.310126582278481,162190
SD,Progressive Alliance of Socialists and Democrats,102,11,11,17,1,0.17741935483870963,162190
RENEW,Renew Europe,65,5,16,15,1,0.2441860465116279,162190
GREEN_EFA,Greens/European Free Alliance,59,4,0,8,1,0.06349206349206349,162190
ECR,European Conservatives and Reformists,0,60,1,6,0,0.016393442622950838,162190
ID,Identity and Democracy,0,49,0,10,0,0.0,162190
NI,Non-attached Members,15,23,2,10,0,0.42500000000000004,162190
GUE_NGL,The Left in the European Parliament,15,7,11,4,1,0.5454545454545454,162190
EPP,European Peopleâs Party,158,0,0,20,1,0.0,162192
SD,Progressive Alliance of Socialists and Democrats,122,0,0,19,1,0.0,162192
RENEW,Renew Europe,84,0,0,17,1,0.0,162192
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162192
ECR,European Conservatives and Reformists,56,2,2,7,1,0.06666666666666665,162192
ID,Identity and Democracy,16,32,0,11,0,0.33333333333333337,162192
NI,Non-attached Members,32,1,3,14,1,0.11111111111111116,162192
GUE_NGL,The Left in the European Parliament,31,0,1,5,1,0.03125,162192
EPP,European Peopleâs Party,152,5,3,18,1,0.050000000000000044,162204
SD,Progressive Alliance of Socialists and Democrats,124,1,0,16,1,0.008000000000000007,162204
RENEW,Renew Europe,81,2,4,14,1,0.06896551724137934,162204
GREEN_EFA,Greens/European Free Alliance,61,0,2,8,1,0.031746031746031744,162204
ECR,European Conservatives and Reformists,42,4,14,7,1,0.30000000000000004,162204
ID,Identity and Democracy,19,16,15,9,1,0.62,162204
NI,Non-attached Members,15,8,17,10,1,0.625,162204
GUE_NGL,The Left in the European Parliament,1,29,3,4,0,0.12121212121212122,162204
EPP,European Peopleâs Party,148,7,5,18,1,0.07499999999999996,162205
SD,Progressive Alliance of Socialists and Democrats,38,67,17,19,0,0.4508196721311475,162205
RENEW,Renew Europe,85,0,1,15,1,0.011627906976744207,162205
GREEN_EFA,Greens/European Free Alliance,3,56,3,9,0,0.09677419354838712,162205
ECR,European Conservatives and Reformists,61,0,0,6,1,0.0,162205
ID,Identity and Democracy,46,3,0,10,1,0.061224489795918324,162205
NI,Non-attached Members,25,11,4,10,1,0.375,162205
GUE_NGL,The Left in the European Parliament,3,29,1,4,0,0.12121212121212122,162205
EPP,European Peopleâs Party,151,1,7,19,1,0.05031446540880502,162254
SD,Progressive Alliance of Socialists and Democrats,123,0,1,17,1,0.008064516129032251,162254
RENEW,Renew Europe,83,3,0,15,1,0.03488372093023251,162254
GREEN_EFA,Greens/European Free Alliance,59,0,4,8,1,0.06349206349206349,162254
ECR,European Conservatives and Reformists,0,46,13,8,0,0.22033898305084743,162254
ID,Identity and Democracy,14,24,7,14,0,0.4666666666666667,162254
NI,Non-attached Members,19,20,0,11,0,0.4871794871794872,162254
GUE_NGL,The Left in the European Parliament,33,0,0,4,1,0.0,162254
EPP,European Peopleâs Party,142,0,0,36,1,0.0,160062
SD,Progressive Alliance of Socialists and Democrats,102,1,0,38,1,0.009708737864077666,160062
RENEW,Renew Europe,86,0,0,15,1,0.0,160062
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,160062
ECR,European Conservatives and Reformists,52,6,2,6,1,0.1333333333333333,160062
ID,Identity and Democracy,17,0,31,12,1,0.6458333333333333,160062
NI,Non-attached Members,31,2,4,12,1,0.16216216216216217,160062
GUE_NGL,The Left in the European Parliament,25,0,5,6,1,0.16666666666666663,160062
EPP,European Peopleâs Party,158,0,0,20,1,0.0,162279
SD,Progressive Alliance of Socialists and Democrats,126,0,0,15,1,0.0,162279
RENEW,Renew Europe,85,0,0,16,1,0.0,162279
GREEN_EFA,Greens/European Free Alliance,62,0,1,8,1,0.015873015873015928,162279
ECR,European Conservatives and Reformists,55,4,2,6,1,0.09836065573770492,162279
ID,Identity and Democracy,0,18,31,10,0,0.6326530612244898,162279
NI,Non-attached Members,34,3,1,12,1,0.10526315789473684,162279
GUE_NGL,The Left in the European Parliament,16,11,5,5,1,0.5,162279
EPP,European Peopleâs Party,157,0,2,19,1,0.012578616352201255,162206
SD,Progressive Alliance of Socialists and Democrats,126,0,0,15,1,0.0,162206
RENEW,Renew Europe,82,1,4,14,1,0.05747126436781613,162206
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162206
ECR,European Conservatives and Reformists,14,8,38,7,1,0.7666666666666666,162206
ID,Identity and Democracy,36,2,12,9,1,0.28,162206
NI,Non-attached Members,34,1,5,10,1,0.15000000000000002,162206
GUE_NGL,The Left in the European Parliament,33,0,0,4,1,0.0,162206
EPP,European Peopleâs Party,153,1,6,18,1,0.043749999999999956,162295
SD,Progressive Alliance of Socialists and Democrats,104,10,12,15,1,0.17460317460317465,162295
RENEW,Renew Europe,82,1,3,15,1,0.046511627906976716,162295
GREEN_EFA,Greens/European Free Alliance,0,62,1,8,0,0.015873015873015928,162295
ECR,European Conservatives and Reformists,61,0,0,6,1,0.0,162295
ID,Identity and Democracy,46,0,4,9,1,0.07999999999999996,162295
NI,Non-attached Members,29,7,4,10,1,0.275,162295
GUE_NGL,The Left in the European Parliament,2,20,11,4,0,0.3939393939393939,162295
EPP,European Peopleâs Party,141,6,11,20,1,0.10759493670886078,162314
SD,Progressive Alliance of Socialists and Democrats,123,0,0,18,1,0.0,162314
RENEW,Renew Europe,83,0,0,18,1,0.0,162314
GREEN_EFA,Greens/European Free Alliance,59,1,0,11,1,0.01666666666666672,162314
ECR,European Conservatives and Reformists,16,3,41,7,1,0.7333333333333334,162314
ID,Identity and Democracy,35,0,12,12,1,0.25531914893617025,162314
NI,Non-attached Members,33,3,1,13,1,0.10810810810810811,162314
GUE_NGL,The Left in the European Parliament,32,0,0,5,1,0.0,162314
EPP,European Peopleâs Party,158,1,0,19,1,0.0062893081761006275,162158
SD,Progressive Alliance of Socialists and Democrats,126,0,0,15,1,0.0,162158
RENEW,Renew Europe,84,0,0,17,1,0.0,162158
GREEN_EFA,Greens/European Free Alliance,63,0,0,8,1,0.0,162158
ECR,European Conservatives and Reformists,55,2,4,6,1,0.09836065573770492,162158
ID,Identity and Democracy,25,2,22,10,1,0.4897959183673469,162158
NI,Non-attached Members,34,2,2,12,1,0.10526315789473684,162158
GUE_NGL,The Left in the European Parliament,32,0,0,5,1,0.0,162158
EPP,European Peopleâs Party,137,0,0,41,1,0.0,160070
SD,Progressive Alliance of Socialists and Democrats,101,0,0,40,1,0.0,160070
RENEW,Renew Europe,84,0,0,17,1,0.0,160070
GREEN_EFA,Greens/European Free Alliance,55,0,0,16,1,0.0,160070
ECR,European Conservatives and Reformists,3,44,10,9,0,0.22807017543859653,160070
ID,Identity and Democracy,35,8,4,13,1,0.25531914893617025,160070
NI,Non-attached Members,22,3,6,18,1,0.29032258064516125,160070
GUE_NGL,The Left in the European Parliament,2,0,25,9,1,0.9259259259259259,160070
EPP,European Peopleâs Party,142,0,0,36,1,0.0,160066
SD,Progressive Alliance of Socialists and Democrats,103,0,0,38,1,0.0,160066
RENEW,Renew Europe,86,0,0,15,1,0.0,160066
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,160066
ECR,European Conservatives and Reformists,5,5,50,6,0,0.9166666666666666,160066
ID,Identity and Democracy,46,2,0,12,1,0.04166666666666663,160066
NI,Non-attached Members,20,5,12,12,1,0.45945945945945943,160066
GUE_NGL,The Left in the European Parliament,29,0,0,7,1,0.0,160066
EPP,European Peopleâs Party,142,0,0,36,1,0.0,160065
SD,Progressive Alliance of Socialists and Democrats,104,0,0,37,1,0.0,160065
RENEW,Renew Europe,85,0,0,16,1,0.0,160065
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,160065
ECR,European Conservatives and Reformists,51,4,5,6,1,0.15000000000000002,160065
ID,Identity and Democracy,31,11,4,14,1,0.32608695652173914,160065
NI,Non-attached Members,29,5,3,12,1,0.21621621621621623,160065
GUE_NGL,The Left in the European Parliament,1,23,6,6,0,0.23333333333333328,160065
EPP,European Peopleâs Party,84,13,43,38,1,0.4,160076
SD,Progressive Alliance of Socialists and Democrats,100,0,0,41,1,0.0,160076
RENEW,Renew Europe,62,22,1,16,1,0.2705882352941177,160076
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,160076
ECR,European Conservatives and Reformists,0,51,8,7,0,0.13559322033898302,160076
ID,Identity and Democracy,0,48,0,12,0,0.0,160076
NI,Non-attached Members,19,8,10,12,1,0.4864864864864865,160076
GUE_NGL,The Left in the European Parliament,27,0,3,6,1,0.09999999999999998,160076
EPP,European Peopleâs Party,142,0,0,36,1,0.0,160107
SD,Progressive Alliance of Socialists and Democrats,104,0,0,37,1,0.0,160107
RENEW,Renew Europe,86,0,0,15,1,0.0,160107
GREEN_EFA,Greens/European Free Alliance,57,0,0,14,1,0.0,160107
ECR,European Conservatives and Reformists,58,0,2,6,1,0.033333333333333326,160107
ID,Identity and Democracy,48,0,0,12,1,0.0,160107
NI,Non-attached Members,33,3,0,13,1,0.08333333333333337,160107
GUE_NGL,The Left in the European Parliament,27,2,2,5,1,0.12903225806451613,160107
EPP,European Peopleâs Party,134,0,8,36,1,0.05633802816901412,160141
